county,precinct,HOR_DEM,HOR_REP,HOR_CON,HOR_GRE,HOR_WOR,HOR_IND,HOR_WEP,HOR_REF,Sen_DEM,Sen_REP,Sen_CON,Sen_WOR,Sen_IND,Sen_WEP,Sen_REF,Gov_DEM,Gov_REP,Gov_CON,Gov_GRE,Gov_WOR,Gov_IND,Gov_WEP,Gov_REF,Gov_SAM,Gov_LBT,county_id,original_precinct_name
Queens County,001~23,222,0,0,0,0,0,0,0,170,339,124,5,8,1,1,139,372,117,5,2,10,2,2,1,5,Queens County,001~23
Queens County,001~24,226,74,15,0,5,4,1,0,229,73,11,8,4,1,2,233,68,7,4,4,2,1,2,0,1,Queens County,001~24
Queens County,001~25,189,0,0,13,10,0,0,2,162,67,6,3,5,2,0,167,60,3,4,1,4,0,0,0,0,Queens County,001~25
Queens County,001~26,80,108,5,0,6,0,2,0,83,106,8,0,5,1,2,86,109,9,1,1,3,2,2,0,0,Queens County,001~26
Queens County,001~27,269,0,0,20,29,0,0,4,86,268,28,3,3,1,3,129,214,21,3,3,3,0,3,1,6,Queens County,001~27
Queens County,001~28,241,0,21,0,16,0,0,2,239,31,5,13,2,1,0,242,30,3,3,13,3,0,1,0,3,Queens County,001~28
Queens County,001~29,290,0,0,0,0,0,0,0,293,15,1,3,1,0,0,297,17,0,1,3,1,1,0,0,0,Queens County,001~29
Queens County,001~30,76,0,0,15,4,0,0,0,80,24,4,1,0,1,1,78,25,2,0,2,2,1,0,0,1,Queens County,001~30
Queens County,001~31,196,0,0,0,0,0,0,0,195,33,2,1,1,1,1,193,38,3,1,1,1,1,1,0,1,Queens County,001~31
Queens County,001~32,353,0,0,0,0,0,0,0,354,14,1,3,0,0,0,364,13,1,0,1,1,1,0,0,1,Queens County,001~32
Queens County,001~33,263,114,12,0,4,8,0,1,262,111,14,4,10,0,0,251,113,12,10,7,4,0,3,4,4,Queens County,001~33
Queens County,001~34,274,11,2,0,7,0,0,0,266,13,0,4,3,1,0,280,12,1,4,2,1,1,0,0,2,Queens County,001~34
Queens County,001~35,54,0,0,7,5,0,0,0,53,13,1,4,2,0,0,50,15,2,0,1,2,1,2,3,1,Queens County,001~35
Queens County,001~36,412,111,0,13,61,0,0,3,416,100,16,60,5,6,1,399,111,12,22,55,4,3,2,5,4,Queens County,001~36
Queens County,001~37,358,67,0,10,18,0,0,1,349,64,14,15,8,2,1,338,64,7,22,13,11,1,1,1,5,Queens County,001~37
Queens County,001~38,301,0,23,0,25,0,0,5,301,32,1,17,6,2,1,288,30,1,16,15,2,2,1,1,5,Queens County,001~38
Queens County,001~39,276,35,9,0,13,0,4,0,273,34,2,7,3,5,0,277,34,2,4,8,3,1,0,1,3,Queens County,001~39
Queens County,001~40,148,219,10,0,3,11,2,0,167,209,11,4,7,2,3,144,218,19,10,2,8,1,1,2,3,Queens County,001~40
Queens County,002~23,259,0,0,0,0,0,0,0,181,374,96,13,20,0,5,172,405,105,3,5,13,1,4,2,2,Queens County,002~23
Queens County,002~24,335,88,11,0,12,2,3,0,334,88,8,14,6,1,2,325,90,8,6,11,4,2,1,0,1,Queens County,002~24
Queens County,002~25,41,0,0,3,2,0,0,0,35,18,1,1,0,1,0,35,19,0,2,0,1,1,0,0,0,Queens County,002~25
Queens County,002~26,49,0,0,6,3,0,0,0,51,18,4,1,0,0,0,49,21,4,4,0,0,0,0,0,0,Queens County,002~26
Queens County,002~27,233,0,0,0,0,0,0,0,236,17,1,2,0,2,0,230,15,1,3,3,1,1,0,0,1,Queens County,002~27
Queens County,002~28,153,0,0,0,0,0,0,0,142,31,4,6,1,1,0,147,32,2,2,2,1,1,0,2,0,Queens County,002~28
Queens County,002~29,427,0,0,0,0,0,0,0,430,17,2,1,1,0,1,439,21,1,2,1,2,0,1,0,1,Queens County,002~29
Queens County,002~30,269,0,0,33,11,0,0,2,275,77,9,8,1,0,1,286,64,10,2,6,1,0,2,0,4,Queens County,002~30
Queens County,002~31,239,0,0,0,0,0,0,0,244,33,4,3,2,0,0,234,29,5,1,3,8,0,0,0,2,Queens County,002~31
Queens County,002~33,266,131,19,0,4,6,2,0,274,129,21,3,8,1,0,274,131,20,3,1,8,2,1,0,3,Queens County,002~33
Queens County,002~34,230,43,0,0,8,0,0,0,222,49,0,5,0,3,1,216,48,2,18,1,0,1,1,1,0,Queens County,002~34
Queens County,002~35,264,0,0,18,7,0,0,1,260,60,4,4,1,0,1,264,55,3,2,4,2,1,0,1,0,Queens County,002~35
Queens County,002~36,329,70,0,4,24,0,0,1,322,61,18,18,10,4,0,308,66,13,12,14,11,2,0,4,3,Queens County,002~36
Queens County,002~37,335,19,0,10,8,0,0,0,338,19,4,6,3,1,1,336,19,6,9,6,2,0,0,1,1,Queens County,002~37
Queens County,002~38,261,0,9,0,30,0,0,3,255,13,0,27,4,4,0,235,15,0,32,23,3,0,0,5,1,Queens County,002~38
Queens County,002~39,172,25,5,0,11,0,3,0,176,30,3,5,2,3,0,183,28,2,0,3,2,3,0,1,2,Queens County,002~39
Queens County,002~40,196,160,13,0,6,7,1,1,197,159,16,5,9,1,1,184,161,14,8,4,6,0,2,0,6,Queens County,002~40
Queens County,003~23,235,0,0,0,0,0,0,0,181,349,69,10,12,1,3,147,403,74,8,7,7,0,1,1,5,Queens County,003~23
Queens County,003~24,294,117,13,0,4,4,2,0,298,115,10,3,6,4,0,285,114,16,6,4,8,1,0,1,1,Queens County,003~24
Queens County,003~25,335,0,0,16,19,0,0,1,328,89,6,6,2,2,1,337,84,10,3,3,4,0,0,1,3,Queens County,003~25
Queens County,003~26,251,159,19,0,5,6,1,0,260,156,17,8,4,1,2,247,158,14,9,7,6,0,1,0,10,Queens County,003~26
Queens County,003~27,279,0,0,23,10,0,0,1,273,62,4,8,8,0,0,270,56,3,10,5,8,0,1,3,3,Queens County,003~27
Queens County,003~28,378,0,0,0,0,0,0,0,346,74,23,15,6,2,0,346,81,28,3,16,4,0,0,0,3,Queens County,003~28
Queens County,003~29,390,0,0,0,0,0,0,0,378,33,0,3,1,1,0,383,27,1,1,0,4,0,0,0,4,Queens County,003~29
Queens County,003~30,8,0,0,0,3,0,0,0,9,2,0,0,0,0,0,5,2,1,1,0,0,0,0,1,0,Queens County,003~30
Queens County,003~31,262,0,0,0,0,0,0,0,263,46,3,6,1,2,0,256,51,4,6,9,2,1,0,0,1,Queens County,003~31
Queens County,003~32,492,0,0,0,0,0,0,0,485,11,1,6,2,0,0,482,14,1,0,4,1,0,0,4,0,Queens County,003~32
Queens County,003~33,291,86,8,0,2,6,0,1,292,88,6,2,8,1,0,276,93,10,4,3,6,1,0,0,2,Queens County,003~33
Queens County,003~34,318,29,5,0,12,0,0,0,309,32,2,12,3,3,1,331,34,1,6,5,2,2,0,2,0,Queens County,003~34
Queens County,003~35,273,0,0,18,13,0,0,1,252,73,6,7,4,2,0,246,74,7,4,5,3,2,1,2,3,Queens County,003~35
Queens County,003~36,261,30,0,4,19,0,0,0,260,30,1,22,4,1,0,249,34,2,10,17,3,2,0,0,2,Queens County,003~36
Queens County,003~37,340,16,0,2,8,0,0,1,345,13,1,10,0,2,0,355,13,1,5,6,0,1,0,1,1,Queens County,003~37
Queens County,003~38,327,0,13,0,37,0,0,3,329,21,3,32,1,3,1,302,19,4,29,29,1,5,0,3,1,Queens County,003~38
Queens County,003~39,246,40,3,0,9,0,0,0,241,42,2,4,4,1,0,264,40,4,2,2,1,3,0,1,2,Queens County,003~39
Queens County,003~40,212,0,0,29,7,0,0,2,182,77,10,3,0,3,0,180,78,12,7,4,5,0,2,1,0,Queens County,003~40
Queens County,004~23,49,0,0,0,0,0,0,0,36,58,11,0,3,1,0,35,60,12,0,0,1,1,0,0,1,Queens County,004~23
Queens County,004~24,229,78,13,0,10,8,3,0,231,75,10,13,6,4,0,229,90,10,6,5,7,2,0,1,1,Queens County,004~24
Queens County,004~25,281,0,0,27,22,0,0,5,267,88,7,9,10,0,0,271,83,8,5,5,6,1,0,3,3,Queens County,004~25
Queens County,004~26,220,144,10,0,13,10,3,0,225,143,10,11,8,2,0,222,153,6,5,13,6,0,1,0,2,Queens County,004~26
Queens County,004~27,242,0,0,22,16,0,0,0,232,63,5,11,3,1,0,234,60,7,6,11,4,1,0,1,3,Queens County,004~27
Queens County,004~28,157,0,0,0,0,0,0,0,159,37,8,2,1,1,1,152,37,8,4,2,4,1,1,1,1,Queens County,004~28
Queens County,004~29,178,0,0,0,0,0,0,0,182,13,1,0,4,0,0,184,13,0,0,0,2,1,0,0,1,Queens County,004~29
Queens County,004~30,266,0,0,53,26,0,0,3,249,157,15,15,4,1,1,218,173,15,14,10,6,3,2,3,6,Queens County,004~30
Queens County,004~31,269,0,0,0,0,0,0,0,265,30,7,8,1,0,0,266,28,3,5,3,0,0,1,1,3,Queens County,004~31
Queens County,004~32,473,0,0,0,0,0,0,0,459,32,0,8,3,2,1,464,26,0,4,6,2,0,0,1,3,Queens County,004~32
Queens County,004~33,225,59,15,0,9,5,0,1,233,58,14,5,6,0,1,224,64,15,8,4,7,0,2,0,4,Queens County,004~33
Queens County,004~34,294,22,3,0,5,0,2,0,294,24,0,5,3,1,0,288,26,1,2,3,3,1,0,0,2,Queens County,004~34
Queens County,004~35,327,0,0,19,21,0,0,2,317,75,6,11,3,3,1,317,82,5,5,7,2,1,1,4,4,Queens County,004~35
Queens County,004~36,384,66,0,10,34,0,0,3,380,69,8,33,5,3,0,342,71,9,21,29,4,3,0,9,6,Queens County,004~36
Queens County,004~37,379,16,0,6,6,0,0,0,384,11,7,6,3,0,1,383,10,1,7,8,3,0,0,3,3,Queens County,004~37
Queens County,004~38,327,0,28,0,37,0,0,3,323,36,4,28,4,4,0,299,37,4,21,33,4,2,0,4,3,Queens County,004~38
Queens County,004~39,315,37,5,0,13,0,2,0,319,35,1,12,6,2,1,328,29,0,9,8,4,0,2,1,0,Queens County,004~39
Queens County,004~40,255,0,0,58,12,0,0,2,232,160,19,7,3,1,4,236,174,15,3,4,3,0,2,0,0,Queens County,004~40
Queens County,005~23,261,0,0,0,0,0,0,0,223,248,36,8,10,3,0,205,267,33,8,6,6,2,0,1,5,Queens County,005~23
Queens County,005~24,278,73,15,0,6,5,2,1,277,77,15,3,4,2,0,268,89,15,2,4,2,2,0,2,2,Queens County,005~24
Queens County,005~25,58,0,0,5,2,0,0,0,52,20,1,0,1,0,0,53,19,0,1,1,2,1,0,0,0,Queens County,005~25
Queens County,005~26,152,118,5,0,8,4,2,0,138,130,7,8,2,3,1,134,126,6,6,8,3,2,1,1,0,Queens County,005~26
Queens County,005~27,315,0,0,29,27,0,0,4,295,99,6,15,2,2,2,289,98,6,2,9,0,1,3,4,1,Queens County,005~27
Queens County,005~28,142,0,0,0,0,0,0,0,139,22,2,6,6,0,0,137,23,2,2,3,4,0,0,0,1,Queens County,005~28
Queens County,005~29,197,0,0,0,0,0,0,0,188,13,0,1,0,0,1,186,7,0,3,0,2,1,0,0,5,Queens County,005~29
Queens County,005~30,251,0,0,59,18,0,0,3,208,255,27,9,9,3,0,206,256,24,6,10,5,4,1,4,4,Queens County,005~30
Queens County,005~31,270,0,0,0,0,0,0,0,276,24,2,8,0,0,1,275,29,2,2,5,3,0,0,1,0,Queens County,005~31
Queens County,005~32,248,0,0,0,0,0,0,0,246,12,1,2,3,0,0,251,10,2,1,2,2,1,0,0,1,Queens County,005~32
Queens County,005~33,306,102,6,0,4,5,1,0,310,101,8,6,2,0,0,293,107,11,7,5,2,0,0,2,3,Queens County,005~33
Queens County,005~34,273,29,3,0,10,0,2,0,267,28,4,4,2,2,1,296,24,5,4,4,2,0,0,0,3,Queens County,005~34
Queens County,005~35,254,0,0,28,10,0,0,0,242,73,5,5,4,3,1,239,78,8,6,2,5,1,0,1,1,Queens County,005~35
Queens County,005~36,290,43,0,9,19,0,0,0,290,46,3,22,0,0,1,263,48,2,17,17,1,1,0,3,4,Queens County,005~36
Queens County,005~37,368,38,0,9,21,0,0,1,369,35,3,15,8,3,1,358,31,2,15,13,8,2,0,6,6,Queens County,005~37
Queens County,005~38,361,0,21,0,26,0,0,8,366,27,3,18,4,3,0,365,28,4,20,16,5,4,1,2,1,Queens County,005~38
Queens County,005~39,270,39,4,0,12,0,1,0,251,46,3,9,3,3,0,262,43,1,6,6,8,2,0,1,0,Queens County,005~39
Queens County,005~40,207,0,0,53,25,0,0,5,188,187,22,9,4,3,2,188,190,18,2,7,8,4,1,0,3,Queens County,005~40
Queens County,006~23,255,0,0,0,0,0,0,0,212,300,35,13,5,2,2,200,322,35,5,3,5,2,6,1,2,Queens County,006~23
Queens County,006~24,307,111,16,0,4,6,1,4,305,113,13,6,5,2,4,305,112,10,4,10,2,2,4,3,2,Queens County,006~24
Queens County,006~25,240,0,0,8,7,0,0,0,221,52,8,4,1,1,1,218,51,7,4,4,1,0,0,0,3,Queens County,006~25
Queens County,006~26,254,167,11,0,5,7,2,0,255,167,13,5,5,1,0,248,166,12,8,8,6,0,2,6,2,Queens County,006~26
Queens County,006~27,501,0,0,41,37,0,0,6,498,94,12,26,6,3,1,465,94,10,17,21,6,4,1,4,8,Queens County,006~27
Queens County,006~28,281,0,0,39,39,0,0,3,271,101,23,28,7,2,2,259,107,21,15,15,7,1,1,3,5,Queens County,006~28
Queens County,006~29,427,0,0,0,0,0,0,0,411,21,3,5,8,0,0,403,25,3,5,3,7,1,0,1,0,Queens County,006~29
Queens County,006~30,281,0,0,61,31,0,0,3,259,209,33,10,9,5,0,245,223,33,8,10,6,1,3,6,3,Queens County,006~30
Queens County,006~31,13,0,0,0,0,0,0,0,12,2,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,Queens County,006~31
Queens County,006~32,337,0,0,0,0,0,0,0,339,17,0,5,2,2,0,341,14,1,3,5,2,0,0,1,0,Queens County,006~32
Queens County,006~33,337,125,17,0,8,6,2,0,341,125,19,6,4,3,0,326,135,14,8,6,7,0,0,4,2,Queens County,006~33
Queens County,006~34,229,21,4,0,9,0,1,0,222,19,1,6,4,0,0,234,21,3,4,5,4,1,0,1,1,Queens County,006~34
Queens County,006~35,310,0,0,19,16,0,0,4,294,57,8,6,9,2,2,304,60,3,8,6,5,0,0,2,2,Queens County,006~35
Queens County,006~36,431,52,0,6,31,0,0,1,422,62,3,28,5,6,0,385,65,7,23,29,2,4,0,10,7,Queens County,006~36
Queens County,006~37,257,40,0,6,22,0,0,3,257,37,4,21,8,3,0,258,40,3,11,16,6,0,0,2,3,Queens County,006~37
Queens County,006~38,368,0,40,0,34,0,0,17,363,48,7,28,11,5,1,348,50,6,22,24,7,4,0,4,5,Queens County,006~38
Queens County,006~39,218,28,6,0,5,0,3,0,218,30,2,5,4,1,0,230,26,2,2,4,3,1,0,1,3,Queens County,006~39
Queens County,006~40,213,0,0,79,25,0,0,2,201,212,21,17,11,1,0,199,213,26,7,12,7,0,1,0,9,Queens County,006~40
Queens County,007~23,240,0,0,0,0,0,0,0,203,291,44,7,3,2,1,182,316,44,10,4,1,0,0,0,4,Queens County,007~23
Queens County,007~24,296,85,8,0,1,3,0,0,298,84,8,1,2,0,0,287,90,8,7,2,1,1,0,0,1,Queens County,007~24
Queens County,007~25,271,0,0,12,11,0,0,3,269,31,4,9,4,1,1,263,34,5,8,7,2,0,0,3,7,Queens County,007~25
Queens County,007~26,147,118,16,0,6,2,1,0,153,113,14,5,1,2,0,143,117,18,4,6,1,0,0,0,0,Queens County,007~26
Queens County,007~27,482,0,0,21,25,0,0,4,469,71,4,21,11,3,2,443,62,6,19,18,11,1,2,7,5,Queens County,007~27
Queens County,007~28,142,0,0,12,5,0,0,1,127,46,2,1,1,1,2,121,42,4,1,2,2,2,0,1,3,Queens County,007~28
Queens County,007~29,41,0,0,0,0,0,0,0,40,7,0,1,0,0,0,42,7,0,0,1,0,0,1,0,0,Queens County,007~29
Queens County,007~30,266,0,0,66,22,0,0,1,249,207,33,11,3,2,0,248,204,23,6,14,4,1,1,2,9,Queens County,007~30
Queens County,007~31,265,0,0,0,0,0,0,0,260,35,0,5,2,3,0,260,32,3,1,3,2,4,0,0,2,Queens County,007~31
Queens County,007~32,82,0,0,2,6,0,0,0,83,12,0,5,2,1,0,83,11,0,1,5,2,0,0,0,1,Queens County,007~32
Queens County,007~33,295,124,19,0,7,14,1,1,302,123,18,6,13,0,0,282,146,19,8,4,6,1,0,1,3,Queens County,007~33
Queens County,007~34,203,18,3,0,8,0,2,0,202,21,2,5,0,0,2,204,19,1,5,2,2,0,1,0,0,Queens County,007~34
Queens County,007~35,266,0,0,16,8,0,0,0,264,43,2,6,0,3,0,263,46,5,3,3,2,0,1,3,0,Queens County,007~35
Queens County,007~36,320,22,0,4,30,0,0,2,311,25,4,27,8,0,3,309,31,5,12,17,8,1,1,1,3,Queens County,007~36
Queens County,007~37,211,11,0,2,5,0,0,0,208,11,0,6,0,0,0,235,10,0,0,4,1,0,1,0,0,Queens County,007~37
Queens County,007~38,287,0,17,0,22,0,0,7,294,20,0,13,4,4,1,283,21,2,11,13,3,2,1,3,4,Queens County,007~38
Queens County,007~39,291,64,4,0,10,0,1,0,291,68,1,8,4,2,0,298,72,2,3,3,2,2,0,0,2,Queens County,007~39
Queens County,007~40,233,0,0,53,18,0,0,1,218,134,24,12,14,1,1,197,142,21,9,12,14,1,2,4,5,Queens County,007~40
Queens County,008~23,283,0,0,0,0,0,0,0,236,275,49,6,5,3,2,218,291,44,4,4,5,5,3,6,6,Queens County,008~23
Queens County,008~24,94,9,2,0,2,1,0,0,96,11,1,1,1,0,1,94,14,1,2,0,1,0,0,0,2,Queens County,008~24
Queens County,008~25,236,0,0,24,13,0,0,1,208,96,4,9,3,2,1,210,88,2,4,6,5,0,0,1,3,Queens County,008~25
Queens County,008~26,296,172,25,0,15,11,2,1,296,175,27,17,8,2,0,295,184,28,8,10,8,0,1,4,6,Queens County,008~26
Queens County,008~27,403,0,0,22,22,0,0,0,395,62,7,15,6,1,1,389,67,6,10,10,6,0,0,3,3,Queens County,008~27
Queens County,008~28,56,0,0,9,3,0,0,2,30,48,15,3,0,1,2,30,47,14,1,3,0,0,1,0,0,Queens County,008~28
Queens County,008~29,226,0,0,0,0,0,0,0,210,31,2,3,1,0,0,224,25,3,2,0,1,0,0,2,0,Queens County,008~29
Queens County,008~30,280,0,0,57,30,0,0,2,247,230,27,10,12,3,0,238,239,18,13,8,10,0,0,0,5,Queens County,008~30
Queens County,008~31,239,0,0,0,0,0,0,0,232,42,4,4,2,0,0,232,46,3,4,2,3,1,0,0,0,Queens County,008~31
Queens County,008~32,77,0,0,0,0,0,0,0,74,18,0,0,0,0,0,77,14,0,0,0,0,0,0,0,0,Queens County,008~32
Queens County,008~33,303,130,19,0,8,3,1,1,311,130,19,4,2,3,1,293,137,19,7,3,1,1,2,1,6,Queens County,008~33
Queens County,008~34,393,52,5,0,19,0,9,0,393,50,4,15,6,3,0,388,57,5,12,12,6,0,1,3,5,Queens County,008~34
Queens County,008~35,249,0,0,13,16,0,0,3,248,38,4,5,8,2,0,232,47,3,14,4,5,1,0,2,2,Queens County,008~35
Queens County,008~36,461,56,0,8,38,0,0,0,457,56,5,29,8,7,2,443,62,7,11,28,8,6,2,4,4,Queens County,008~36
Queens County,008~37,336,20,0,7,8,0,0,0,333,19,3,5,3,0,0,342,16,1,5,3,5,1,0,0,3,Queens County,008~37
Queens County,008~38,307,0,39,0,36,0,0,5,302,56,4,28,7,0,0,289,50,5,23,20,3,1,2,0,4,Queens County,008~38
Queens County,008~39,211,43,6,0,27,0,8,0,219,50,5,4,4,1,0,230,56,3,2,6,4,1,1,0,0,Queens County,008~39
Queens County,008~40,140,0,0,23,7,0,0,2,133,47,5,5,1,1,3,127,50,5,9,3,4,1,1,0,0,Queens County,008~40
Queens County,009~23,267,0,0,0,0,0,0,0,231,265,35,11,5,3,2,215,273,45,9,6,7,1,3,1,1,Queens County,009~23
Queens County,009~24,11,6,0,0,0,0,0,0,13,4,0,0,0,0,0,12,4,0,0,1,0,0,0,0,0,Queens County,009~24
Queens County,009~25,71,0,0,5,5,0,0,1,65,25,4,3,0,0,0,63,22,4,4,1,0,0,0,2,0,Queens County,009~25
Queens County,009~26,296,183,30,0,8,8,1,2,302,182,23,6,11,1,1,291,186,24,5,6,9,3,2,3,4,Queens County,009~26
Queens County,009~27,303,0,0,17,17,0,0,1,305,39,2,6,4,4,0,298,39,6,6,7,3,1,0,0,4,Queens County,009~27
Queens County,009~28,208,0,0,28,22,0,0,2,203,55,12,14,3,3,0,185,66,13,10,9,5,0,2,1,2,Queens County,009~28
Queens County,009~29,300,0,0,0,0,0,0,0,293,39,1,12,1,2,0,303,39,1,4,8,1,0,1,0,2,Queens County,009~29
Queens County,009~30,205,0,0,56,22,0,0,2,180,222,32,5,3,0,1,185,227,24,1,2,4,1,1,0,1,Queens County,009~30
Queens County,009~31,217,0,0,0,0,0,0,0,211,17,6,0,1,0,0,213,21,3,0,2,0,0,0,0,3,Queens County,009~31
Queens County,009~32,92,0,0,2,0,0,0,1,93,3,0,0,2,0,0,94,3,0,0,0,1,0,0,1,0,Queens County,009~32
Queens County,009~33,271,136,28,0,8,10,1,0,264,140,28,10,10,1,1,252,150,24,8,8,7,3,1,1,5,Queens County,009~33
Queens County,009~34,339,26,3,0,9,0,2,0,328,30,2,11,3,0,0,323,30,2,10,3,3,0,1,5,2,Queens County,009~34
Queens County,009~35,300,0,0,16,15,0,0,2,287,70,4,6,2,2,0,285,73,2,5,7,3,1,0,2,1,Queens County,009~35
Queens County,009~36,220,40,0,4,11,0,0,1,219,40,3,12,0,0,0,209,33,3,6,8,3,1,0,5,2,Queens County,009~36
Queens County,009~37,282,12,0,5,7,0,0,0,278,12,1,6,4,0,0,284,8,1,2,3,6,1,1,2,2,Queens County,009~37
Queens County,009~38,280,0,37,0,13,0,0,2,276,59,6,9,3,0,0,274,61,4,5,9,1,0,2,1,3,Queens County,009~38
Queens County,009~39,285,22,5,0,11,0,0,0,284,27,1,5,3,2,0,295,26,1,7,3,1,0,0,0,0,Queens County,009~39
Queens County,009~40,290,0,0,65,26,0,0,1,270,169,26,12,10,5,0,264,161,29,16,6,12,3,1,5,2,Queens County,009~40
Queens County,010~23,292,0,0,0,0,0,0,0,244,194,29,22,2,1,0,219,208,31,14,11,5,0,1,3,5,Queens County,010~23
Queens County,010~24,160,47,6,0,5,4,0,0,167,47,2,3,5,0,0,160,50,6,1,3,5,0,0,0,2,Queens County,010~24
Queens County,010~25,156,0,0,8,8,0,0,2,126,62,1,1,1,0,1,127,58,2,1,3,2,1,1,0,1,Queens County,010~25
Queens County,010~26,302,154,13,0,7,12,0,1,307,155,13,7,11,0,1,294,166,12,5,5,9,0,1,1,5,Queens County,010~26
Queens County,010~27,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,Queens County,010~27
Queens County,010~28,296,0,0,27,22,0,0,5,263,92,17,17,4,1,1,261,90,16,12,13,5,2,1,2,1,Queens County,010~28
Queens County,010~29,295,0,0,0,0,0,0,0,302,31,1,1,0,0,0,293,32,1,0,1,0,0,1,1,0,Queens County,010~29
Queens County,010~30,247,0,0,59,23,0,0,2,238,171,20,12,2,2,1,228,180,17,11,6,4,2,1,2,5,Queens County,010~30
Queens County,010~31,310,0,0,0,0,0,0,0,305,36,1,6,2,1,0,313,34,2,5,1,3,2,0,0,2,Queens County,010~31
Queens County,010~32,36,0,0,0,0,0,0,0,35,1,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,Queens County,010~32
Queens County,010~33,248,103,18,0,8,6,1,0,260,94,16,8,6,1,2,252,100,16,5,8,8,1,0,0,2,Queens County,010~33
Queens County,010~34,223,42,2,0,12,0,1,0,232,40,1,6,3,0,0,229,38,4,3,4,5,0,0,0,1,Queens County,010~34
Queens County,010~35,263,0,0,14,15,0,0,0,261,46,2,8,3,0,0,250,45,4,8,10,1,1,1,2,1,Queens County,010~35
Queens County,010~36,344,44,0,18,16,0,0,2,351,45,2,13,9,3,1,310,46,3,22,14,11,1,0,1,11,Queens County,010~36
Queens County,010~37,293,4,0,2,7,0,0,1,289,4,2,6,3,3,0,289,7,3,0,8,3,3,1,1,0,Queens County,010~37
Queens County,010~38,264,0,42,0,11,0,0,2,259,54,7,9,5,1,0,266,53,8,0,9,3,2,1,2,1,Queens County,010~38
Queens County,010~39,265,18,5,0,13,0,0,0,274,17,3,1,5,0,0,263,19,3,4,2,3,3,0,4,1,Queens County,010~39
Queens County,010~40,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Queens County,010~40
Queens County,011~23,301,0,0,0,0,0,0,0,256,221,32,6,8,2,2,250,234,36,8,4,10,2,0,1,6,Queens County,011~23
Queens County,011~24,207,57,6,0,5,4,0,0,210,54,6,5,4,0,2,197,52,4,9,6,5,0,3,0,1,Queens County,011~24
Queens County,011~25,278,0,0,19,12,0,0,5,180,174,13,4,3,1,0,199,145,12,7,6,3,0,0,4,1,Queens County,011~25
Queens County,011~26,203,218,27,0,7,11,3,0,198,219,23,7,13,3,0,196,220,23,6,5,10,2,1,0,8,Queens County,011~26
Queens County,011~27,291,0,0,11,9,0,0,2,286,28,1,6,3,3,1,287,21,2,4,5,2,1,0,2,2,Queens County,011~27
Queens County,011~28,270,0,0,17,9,0,0,1,264,66,4,8,3,0,1,268,72,2,5,7,3,0,1,1,4,Queens County,011~28
Queens County,011~29,270,0,0,0,0,0,0,0,272,36,1,1,2,1,1,282,37,0,2,0,2,1,0,1,0,Queens County,011~29
Queens County,011~30,223,0,0,57,23,0,0,2,214,170,31,9,7,1,0,197,185,32,11,5,6,1,2,1,4,Queens County,011~30
Queens County,011~31,362,0,0,0,0,0,0,0,361,16,2,5,3,0,0,367,15,3,3,4,5,0,0,0,0,Queens County,011~31
Queens County,011~32,257,0,0,0,0,0,0,0,258,35,1,2,1,0,0,264,32,1,2,2,1,0,0,0,4,Queens County,011~32
Queens County,011~33,313,110,14,0,18,7,1,0,313,107,16,20,6,1,0,302,118,14,8,14,8,1,0,1,3,Queens County,011~33
Queens County,011~34,241,22,1,0,14,0,2,0,243,25,0,10,3,0,1,246,27,1,2,9,3,0,0,0,1,Queens County,011~34
Queens County,011~35,247,0,0,19,13,0,0,2,245,32,3,11,9,2,0,237,37,2,9,5,9,1,2,2,1,Queens County,011~35
Queens County,011~36,348,45,0,6,20,0,0,1,353,38,7,18,2,2,0,340,38,8,10,17,2,1,1,0,3,Queens County,011~36
Queens County,011~37,371,32,0,12,18,0,0,2,367,34,6,22,1,3,1,347,32,2,18,12,1,2,1,3,10,Queens County,011~37
Queens County,011~38,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Queens County,011~38
Queens County,011~39,283,48,7,0,12,0,5,0,284,51,2,6,6,3,1,276,50,1,7,3,8,2,1,1,1,Queens County,011~39
Queens County,011~40,48,0,0,5,2,0,0,0,42,14,1,3,0,0,0,39,15,1,1,3,0,0,0,0,0,Queens County,011~40
Queens County,012~23,297,0,0,0,0,0,0,0,273,141,20,10,5,3,1,284,132,18,8,8,3,2,1,1,9,Queens County,012~23
Queens County,012~24,43,8,1,0,1,0,1,0,45,7,1,1,2,0,0,50,8,0,1,0,0,0,0,0,0,Queens County,012~24
Queens County,012~25,282,0,0,24,22,0,0,2,190,191,13,5,1,1,0,209,158,11,6,6,3,1,0,1,1,Queens County,012~25
Queens County,012~26,224,186,18,0,7,8,0,1,225,183,17,6,6,0,1,233,186,19,4,6,4,2,1,1,2,Queens County,012~26
Queens County,012~27,281,0,0,21,14,0,0,2,283,63,3,7,3,3,2,274,56,5,6,4,4,4,0,3,3,Queens County,012~27
